id,album,name,artist,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
5GAB1X0AJq2EZjxXP9zMFt,Alvvays,"Archie, Marry Me",Alvvays,False,54,0.267,0.828,7,-4.592,1,0.0746,0.00956,0.409,0.143,0.203,117.886,audio_features,spotify:track:5GAB1X0AJq2EZjxXP9zMFt,https://api.spotify.com/v1/tracks/5GAB1X0AJq2EZjxXP9zMFt,https://api.spotify.com/v1/audio-analysis/5GAB1X0AJq2EZjxXP9zMFt,3.276,4
2AvMA7gOOhQpDDUjBs89ap,Playlist: The Best Of Peter Sarstedt,Where Do You Go To (My Lovely),Peter Sarstedt,False,53,0.408,0.436,0,-7.712,1,0.0345,0.805,1.72e-06,0.305,0.474,175.024,audio_features,spotify:track:2AvMA7gOOhQpDDUjBs89ap,https://api.spotify.com/v1/tracks/2AvMA7gOOhQpDDUjBs89ap,https://api.spotify.com/v1/audio-analysis/2AvMA7gOOhQpDDUjBs89ap,4.745116666666667,3
0GuzcbQf1afarMKrk2uixV,Here Comes Everybody + Singles,Pale Spectre,The Wake,False,35,0.307,0.805,9,-10.121,0,0.0381,0.0014,0.344,0.139,0.712,164.91,audio_features,spotify:track:0GuzcbQf1afarMKrk2uixV,https://api.spotify.com/v1/tracks/0GuzcbQf1afarMKrk2uixV,https://api.spotify.com/v1/audio-analysis/0GuzcbQf1afarMKrk2uixV,3.9942166666666665,4
01WwhuljAkggqPwdqyTZqD,Sons Of Noel And Adrian,The Wreck Is Not A Boat,Sons of Noel and Adrian,False,0,0.567,0.424,4,-9.663,0,0.0274,0.84,0.00322,0.134,0.445,94.443,audio_features,spotify:track:01WwhuljAkggqPwdqyTZqD,https://api.spotify.com/v1/tracks/01WwhuljAkggqPwdqyTZqD,https://api.spotify.com/v1/audio-analysis/01WwhuljAkggqPwdqyTZqD,4.94555,4
2M9ro2krNb7nr7HSprkEgo,Tracy Chapman,Fast Car,Tracy Chapman,False,78,0.711,0.292,4,-15.523,0,0.037,0.313,0.0,0.131,0.194,103.951,audio_features,spotify:track:2M9ro2krNb7nr7HSprkEgo,https://api.spotify.com/v1/tracks/2M9ro2krNb7nr7HSprkEgo,https://api.spotify.com/v1/audio-analysis/2M9ro2krNb7nr7HSprkEgo,4.946666666666666,4
3OyOwLshqBHiEOAMBCYQgI,Didn't I,Didn't I - Florent F Rework,"Darondo, Florent F",False,47,0.627,0.497,5,-7.371,1,0.0465,0.348,0.243,0.0926,0.929,80.666,audio_features,spotify:track:3OyOwLshqBHiEOAMBCYQgI,https://api.spotify.com/v1/tracks/3OyOwLshqBHiEOAMBCYQgI,https://api.spotify.com/v1/audio-analysis/3OyOwLshqBHiEOAMBCYQgI,3.760666666666667,4
0WPOxxoEVoglAvhqroDpQA,"New Me, Same Us",Where You Belong,Little Dragon,False,58,0.737,0.436,7,-9.146,1,0.0555,0.161,0.106,0.16,0.36,83.022,audio_features,spotify:track:0WPOxxoEVoglAvhqroDpQA,https://api.spotify.com/v1/tracks/0WPOxxoEVoglAvhqroDpQA,https://api.spotify.com/v1/audio-analysis/0WPOxxoEVoglAvhqroDpQA,3.450633333333333,4
6FZj7qTtGop2aHRZLFKKvN,Murphy's Law,Murphy's Law - Extended Mix,Róisín Murphy,False,34,0.825,0.519,6,-7.397,0,0.0497,0.0135,0.124,0.0782,0.764,113.01,audio_features,spotify:track:6FZj7qTtGop2aHRZLFKKvN,https://api.spotify.com/v1/tracks/6FZj7qTtGop2aHRZLFKKvN,https://api.spotify.com/v1/audio-analysis/6FZj7qTtGop2aHRZLFKKvN,8.001816666666667,4
4xh7W7tlNMIczFhupCPniY,Rumours (Super Deluxe),Go Your Own Way - 2004 Remaster,Fleetwood Mac,False,73,0.586,0.941,5,-5.139,1,0.0375,0.0167,0.000776,0.068,0.831,135.448,audio_features,spotify:track:4xh7W7tlNMIczFhupCPniY,https://api.spotify.com/v1/tracks/4xh7W7tlNMIczFhupCPniY,https://api.spotify.com/v1/audio-analysis/4xh7W7tlNMIczFhupCPniY,3.7268833333333333,4
4FUrVPC15KK8OcABXprp3Z,Small Crimes / Keep on Calling,Keep on Calling,Nilüfer Yanya,False,0,0.764,0.442,6,-10.548,0,0.0355,0.725,0.00066,0.0807,0.106,123.069,audio_features,spotify:track:4FUrVPC15KK8OcABXprp3Z,https://api.spotify.com/v1/tracks/4FUrVPC15KK8OcABXprp3Z,https://api.spotify.com/v1/audio-analysis/4FUrVPC15KK8OcABXprp3Z,3.8385,4
